id,titre,description
11,Développeur backend Python,""Dans le cadre de notre développement  nous recherchons un(e) dev backend pour renforcer notre équipe tech.Tes missions ï¸ Développer de nouvelles features  sur notre APIPython REST  frameworks FastAPI et Tornado  base de données MongoDB Assurer la maintenance de la solution Travailler sur sa performance Faire évoluer la solution et son architecture pour qu'elle soit la plus efficace possible""
12,Développeur Python scraping,""Dans une logique de développement  ils souhaitent recruter un Développeur Python Junior en CDI pour intégrer leur équipe tech.Responsabilités En intégrant leur équipe €œscraping€  vos missions principales seront :Extraction et récupération des données spécifiques sur différents sites webs  Organisation des spiders dans le cloud  Création des spiders pour le scraping  Documentation. Stack : Python  HTML  Javascript  REST  SOAP  Scrapy.""
13,Développeuse Dotnet Développeur Dotnet,""TGI recherche une Développeuse / un Développeur dotnet (F/H) pour renforcer son équipe R&D  à  Lyon.Pour participer aux développements et à  la maintenance des applications Back Office de nos progiciels.A ce titre  vous devez :Développer et maintenir les applications internes Participer aux phases de test Rédiger des documentations techniques Mettre en place les tests unitaires et fonctionnels Participer à  la mise en production et à  l'intégration Profil recherché : Formation informatique Bac + 2 minimum Environnements Microsoft .NET""
14,Développeur ASP DOTNET,""Conception et Développements des applications web.Analyse et Rédaction des spécifications techniques et du cahier des charges.Mettre à  jour les applications déjà  en place au sein de la société.Effectuer la correction de dysfonctionnements éventuels et la maintenance des supports réalisés.Rédaction du dossier technique.Réalisation des tests unitaires.""
15,Développeur DotNet,""Les missions attendues par le Développeur .Net (H/F) sont :Développement .net version 6 Bonne connaissance du développement des API Capacité à  travailler en équipe 2 à  3 ans d'expérience professionnelle.Compétences techniques et fonctionnelles attendues :€“ API €“ Souhaitable€“ DotNet €“ Souhaitable""
16,Support VIP IT,""Nous recherchons un profil support pour renforcer l'équipe de support VIP.excellentes compétences techniques et relationnelles.Mission:Prendre et traiter directement les appels VIP (ligne dédiée) Traiter les mails  les incidents au travers de l'outil dédié Service NOW Prioriser les demandes  organiser et suivre les tickets jusqu'à  leur résolution n'importe le groupe de support impliqué.Assistance etaccompagnement :Accompagner les nouveaux VIP pour la prise en charge des outils IT Lancement des réunions avec Vidéoconférence Lors d'évà¨nements sur site et en déplacement Anticipation des besoins sursite et en déplacement Gestion des bureaux des VIP Etude des besoins IT et de l'esthétique IT Accompagnement et réinstallation lors des changement de bureaux""
17,Support Utilisateurs IT,""L'alternant intà¨grera le pà´le production au sein de l'équipe support et expertise. Cette équipe a pour principal missions le traitement des incidents informatiques dans le domaine de l'informatique distribué (Messagerie / Poste de travail / téléphonie).Missions :Suivi et relance des tickets jusqu'  leur clà´ture Définition et optimisation des procédures d'assistances Application des procédures de qualification  de résolution et d'escalade vers des acteurs spécialisés internes et externes Amélioration des procédures en place en étant force de proposition Suivi et maintien de la base de connaissances Suivi du parc informatique et téléphonie Participation à  la mise en place et à  l'évolution des outils et procédures de gestion de parc Prise en charge de la fourniture et de la configuration des matériels auprà¨s des utilisateurs finaux.""
18,Technicien support IT,""Vous travaillerez au sein du service informatique de Bosch Drancy. Votre département informatique est responsable du parc informatique PC et téléphones mobiles pour tous les sites Bosch en France. D'autres activités telles que la gestion de contrats de service informatique  les commandes de matériel informatique  les activités d'administration back office  les activités liées à  la sécurité et qualité informatique ainsi la gestion des budgets informatique sont incluses dans le portfolio du département.Missions principales :Poste de travail :Gestion du parc informatique :Installation de machine via serveur SCCM Installation de poste de travail chez l'utilisateur : accompagnement des transferts de données et des paramà¨tres liés au profil et prise en main des nouvelles fonctionnalités auprà¨s des utilisateurs Résolution d'incidents (panne  mauvais fonctionnement) :Depuis un outil de gestion de tickets Pendant des horaires de permanences de porte ouverte Support sur Windows et les applications bureautiques Consultation pendant les horaires de permanences de porte ouverte Evà¨nements/formations programmés sur les technologies IT Réalisation de documentations liés à  l'activité""
19,Développeur logiciel embarqué H/F,""Votre mission intervenant dans un contexte Firmware sur des automates  une connaissance du monde de l'automatisme ainsi que des protocoles associés serait un plus. La connaissance de la norme IEC 61499 serait un avantage remarquable à  votre profil.Déjà  en possession d'une expérience concrà¨te de réalisation de logiciel à  forte contrainte temps réel  vous avez développé en langages C et C++ pendant au moins 3 ans dans un cadre professionnel.Vous disposez d'une maitrise approfondie des concepts temps réel et d'au minimum un Os d'application : de préférence VxWorks  ou encore FreeRTOS  Xenomal  ou PikesOs.""
20,Développeur logiciel embarqué F/H,""Au sein d'une entreprise opérant dans le secteur industriel  vous serez en charge du développement et de la maintenance des systà¨mes embarqués permettant de controller divers appareils intégrés à  la chaine de production.Vous serez en charge de :Définir un cahier des charges techniques Suivi de projet avec le chef de projet technique Programmation de la logique permettant de controller l'appareil Maintenance régulià¨re avec l'équipe Support Veille technique et technologique pour apporter des solutions innovantes Les technologies suivantes doivent àªtre connues afin de mener à  bien vos missions :Micro-controlleurs FPGA Arduino""
21,Ingénieur Logiciel Embarqué Développement software,""Description du profil recherché :Ingénieur logiciel embarqué Avec une solide expérience sur les OS temps réel Une connaissance des drivers est un plus RTOS""
22,CDI en comptabilité (SCI et LMNP),""Collaborateur comptable en CDI  possibilité en distanciel en télétravail.Comptastar étant en phase de croissance importante  nos clients nous sollicitent en ligne et ont besoin d'àªtre accompagnés dans la gestion de leur activité.Votre mission sera de gérer un portefeuille de SCI et de BIC : de la saisie à  l'établissement des différentes déclarations fiscales.- Assurer une relation client de confiance axée principalement sur du conseil- Garantir la satisfaction client par un suivi périodique du dossier et par un respect des délais déclaratifs- Révision et établissement des déclarations- Présentation des comptes au client""
23,Technicien Comptabilité Sociale H/F,""En relation avec le responsable d'équipe  participer au pilotage des productions comptables sociales et fiscales  en garantissant le respect des délais et la qualité des données Contribution à  la justification des comptes comptables sur le périmà¨tre d'activité Assurer le suivi des comptes courants dont vous avez la responsabilité (CACIB  Banque de France).Assurer le contrà´le des factures d'investissement et de fonctionnement.Saisir les nouveaux fournisseurs dans le logiciel de gestion des dépenses.Assurer l'arràªté des immobilisations (comptabilisation et reporting)Prendre en charge la comptabilisation des opérations spécifiques (refacturations  gestion des loyers  passages en perte€¦)Contribuer à  la polyvalence des tà¢ches dans le cadre de la gestion administrative et comptable des filiales (saisie  déclarations fiscales production des arràªtés annuels / trimestriels des filiales)Assurer les différents niveaux de reporting relatifs à  ses activités""
24,Responsable Comptabilité Générale H/F,""àŠtre garant de l'ensemble de opérations de trésorerie (encaissements / décaissements) par la mise en place de reportingo àŠtre garant des réconciliations bancaires mensuelles.o Etablir de faà§on hebdomadaire une synthà¨se des soldes de trésorerie (tableaux de bord) et un tableau prévisionnel mensuel.o Optimiser le cash excédentaire avec des placements.o Mise en place d'une procédure métier.†’ Comptabilité clients (encaissements)o Pilotage de l'équipe en charge des lettrages des encaissements (virements  chà¨ques  CB)o Mise en place d'une procédure métier.†’ Comptabilité fournisseurs :o Création des fournisseurs et commandes (demandes d'achats) dans l'ERPo Réception  saisie et contrà´le des factures fournisseurso Analyse des comptes de chargeso Saisie et suivi des immobilisationso Clà´ture annuelle : OD & provisions mise en relation avec les commissaires aux comptes sur les postes fournisseurs et immobilisationso Mise en place d'une procédure de validation des factures et de procédures métiers relatives aux fournisseurs et aux immobilisationso Animation et supervision de l'équipe comptabilité fournisseurs""
25,Office Manager,"" Recruter  manager et challenger les différents prestataires de Shine (ménage  sécurité  plantes€¦) Prendre en charge le courrier de Shine (réception  tri  scann) en collaboration avec les différentes équipes concernées.Au quotidien  assurer le bon fonctionnement des bureaux dans les moindres détails Créer et faire respecter des process internes pour que tous·tes les collaborateur·trices soient embarqué·es dans la vie des bureaux Participer à  l'organisation de certains évà¨nements Shine en binà´me avec Bazia ""
26,Manager H/F,""Vous serez en charge d'animer votre équipe  d'accompagner et de suivre individuellement les collaborateurs. Vous assurez leur montée en compétence en adoptant au quotidien une démarche d'accompagnement. Vous àªtes en mesure de faire adhérer votre équipe aux objectifs et vous veillez à  leur réalisation. Vous garantissez la qualité de la coopération et de l'échange d'information au sein de votre équipe et vous organisez et répartissez le travail en tenant compte du niveau d'activité et de l'adéquation avec les effectifs présents.Vous supervisez le traitement des flux d'activité  vous faites respecter les procédures et garantissez la qualité de service en analysant quantitativement et qualitativement les indicateurs de l'activité de votre périmà¨tre et vous communiquez sur les résultats de votre équipe.Vous serez amené à  faire le lien entre la Direction et les équipes et mettez en Å“uvre la politique IMH.Enfin  vous participez aux recrutements des gestionnaires et vous effectuez la gestion administrative et sociale de l'équipe (planning  retard  absences  maladies€¦) en relation avec la DRH.""
27,Développeur.se Mobile Junior Intégré.e à  l'équipe Mobile,""vous contribuez aux projets de développement de produits logiciels et aux projets de réalisation pour les clients de DEJAMOBILE. Vous àªtes en charge de la conception  du développement  de la qualité et du support de vos logiciels dans un environnement Agile  avec intégration et deploiement continus.Vous serez accompagné.e au quotidien par Ludovic  Tech Lead de l'équipe Mobile. L'équipe mobile compte actuellement une dizaine de collaborateurs fiers de voir leurs développements déployés sur des Apps utilisées par des millions d'utilisateurs (dont vous faites certainement partie !) Les missions d'un.e développeur.se Mobile sont trà¨s variées et challengeantes. Vous souhaitez en savoir plus ? Voici ce que nous proposons :Développement et qualité Vous développez de nouvelles fonctionnalités et corrigez des anomalies. Vous implémentez des tests automatiques spécifiques à  l'environnement Android.Vous assurez la mise en Å“uvre et l'intégration jusqu'à  la mise en production.Vous devenez utilisateur.trice de vos propres développements sur votre smartphone !Vous suivez les tendances technologiques d'Android et dusecteur d'activité de dejamobile.Vous réalisez des études de faisabilité dans le cadre de notre R&D.Vous découvrirez le monde de la sécurité mobile et de la monétique.""
28,Développeur mobile,""Recherche un developpeur mobile  nous sommes une equipe jeune et pationnée et recherchons un développeur pour nous rejoindre.vous travaillerez sur un projet d'application mobile innovant dans la food tech.Nous recherchons une personne d'experimentée capable de designer et d'implementer une architecture pour nos applications mobiles.""
29,Développeur mobile React Native,""Nous recherchons des membres d'équipe talentueux qui souhaitent rejoindre une aventure long terme  créer l'expérience la plus complà¨te pour nos utilisateurs  et révolutionner le marché des wearables bien-àªtre tout en continuant à  développer ses propres compétences.Responsabilités Faire l'architecture  construire et maintenir d'excellentes applications en React Native avec un code propre.Mettre en Å“uvre des interfaces utilisateur parfaites au pixel prà¨s qui correspondent aux designs.Mettre en Å“uvre des animations et des transitions propres  modernes et fluides qui offrent une excellente expérience utilisateur.Intégrer des API de services tiers.Rédiger des tests unitaires et d'intégration.Déployer les app sur les stores: Apple store et Google Play.Travailler avec des modules natifs si nécessaire.Travailler avec des outils modernes tels que Jira  Slack  Gitlab  Google Docs  etc.""
30,Développeur Web et Mobile (Python),""Le développeur analyse et exploite les demandes des utilisateurs finaux. Il les traite  les analyse  prépare si possible un cahier des charges et assure le développement  la formation  les corrections et la production. Il assure également le maintien en fonctionnement des applications existantes (Python  R  autres€¦) et assure les mises à  jour éventuelle.Travailler en transverse avec l'ensemble des services d'Eau Publique du Grand Lyon et les accompagner.Gérer les interfaces d'échanges avec les partenaires d'Eau Publique du Grand Lyon Suivre et participer aux travaux d'alimentation des bases de données avec l'aide des entités partenaires Suivre et maintenir les applications existantes.Niveau bac + 2 minimum Compétences en développements d'applications Web et mobile Connaissances en traitement de données spatiales Expérience en PHP  Java  SQL Expérience dans les développements Python  R  autres€¦ Maà®trise des outils SQL et R  Git appréciés""
31,Développeur JAVA junior,""Vous pourrez accompagner nos leads développeurs et ainsi contribuer à  :Proposer des solutions techniques pour répondre aux besoins métiers Comprendre les chiffrages nécessaires au développement des fonctionnalités Développer les fonctionnalités Réaliser les tests d'intégration Analyser et corriger les anomalies Rédiger les documents techniques.Capgemini vous correspond siVous avez un diplà´me de niveau bac +5 Vous maitrisez le développement JAVA Vous avez des connaissances en webservices (rest et soap) et en bases de données (Oracles et SQLServeur) Vous parlez anglais""
32,Développeur(se) Back-End Java,""En tant que développeur(se)  vos missions seront les suivantes :Participer à  la conception de nos applications (ou leurs évolutions importantes) ainsi qu'a leur maintenance Procéder au chiffrage de vos différentes tà¢ches ;Prendre en charge les développements dans le respect des délais et du niveau de qualité attendu ainsi que les tests automatiques (unitaires  intégrations  performances€¦) ;Participer à  la vie et à  l'évolution de l'équipe au sein des rituels agiles (rétrospective  sprint review)Produire un reporting de votre activité et rédiger la documentation technique.PROFIL RECHERCHE De formation informatique  vous avez au moins 5 ans d'expérience dans le domaine du développement informatique/back-end Vous maà®trisez Java (JEE  Spring)  Hibernate/SQL  Serveur d'application JEE  un IDE tel que Intellij  Eclipse  Visual Studio Code Vous souhaitez évoluer dans un environnement Maven/Gradle  Git  Linux  Jenkins  Sonar  Openshift/HELM/Docker ... Des connaissances sur JS  Vue.JS  CSS3  HTML 5 ... seraient un plus Des connaissances de la sécurité informatique serait appréciées : OpenID Connect  SAML  Active Directory  IAM ...""
33,Développeur Java,""En créant B-HIVEles 3 associés ont fait le pari de faire des valeurs humaines et sociales un avantage compétitif sur un marché trà¨s concurrentiel.Dans le cadre du développement de ses activités  B-HIVE recrute un(e) Développeur Java.Profil recherché :De formation Bac+3 à  Bac+5 (Formation Universitaire  Ecoles d'ingénieurs  ou équivalent)  vous justifiez de minimum 2 ans d'expérience en conception et développement d'applications web et logiciel.Vous disposez des compétences suivantes: Java 8 / Java 11  JavaScript  Angular  Spring  Spring Boot  API Rest  Scrum ""
34,Développeur Java junior,""Pour faire nos développements et réaliser nos projets  on utilise des langages et frameworks actuels et avec des versions récentes comme : Java Spring Boot  C# dot.NET Core etc.Nous développons nos applications dans nos locaux de la Part Dieu  et non en régie chez les clients  l'occasion de changer régulià¨rement de projets et de découvrir de nouveaux contextes ! Le tout  toujours au sein de l'environnement AXOPEN  oà¹ rà¨gne partage et bonne humeur toute l'année Comme on a de nouveaux projets qui démarrent  nous recherchons un.e développeur.se Java pour renforcer notre équipe Tes missions Au sein d'une équipe composée d'un lead tech et de 2 à  5 développeurs  tu participeras au développement de projets en Java  et réaliseras des développements d'écrans  de fonctionnalités et de webservices dans des contextes variés et super intéressants D'ailleurs avec Java  on utilise beaucoup le framework Spring Boot. Si tu ne le connais pas  pas de panique  nous t'apprendrons à  l'appréhender !Selon tes compétences et tes envies  tu pourras également évoluer sur des projets dans d'autres technos comme C# dotNET  Angular  etc.""
35,Développeur Java,""Vous intégrerez notre squad Software Engineering et travaillerez en étroite collaboration avec nos collaborateurs en accomplissant les activités suivantes :Assurer la conception  l'intégration et le développement des projets et solutions ainsi que les maintenances correctives et évolutives Réaliser des tests unitaires et d'intégration sur les développements réalisés Préparer la mise en production avec les équipes expertes Gérer et maintenir la documentation fonctionnelle et technique Assurer l'assistance à  l'utilisation des applications Assurer le diagnostic et la résolution des dysfonctionnements Réaliser une veille technologique régulià¨re pour àªtre au fait des dernià¨res tendances. Environnement technique : Java/Angular 2+ Méthodologie de travail : Agile""
36,Développeur Java et Node.JS,""De formation Ingénieur informatique  votre premià¨re expérience vous a permis d'appliquer vos connaissances techniques dans les domaines suivants :Conception et développement informatique (Node.JS  React et Java).Architecture applicative (Spring Boot  serveur client léger).Une connaissance des normes et standards documentaires serait un plus appréciable.Vous àªtes aussi reconnu(e) pour vos qualités  notamment :de communication (écoute  synthà¨se) de flexibilité et d'adaptabilité (sujets variés à  traiter en parallà¨le  techniques ou de gestion  avec divers interlocuteurs) de créativité mais aussi de pragmatisme  en autonomie comme en équipe de rigueur et d'analyse""
37,Développeur Java Junior,""Nous recherchons de jeunes Ingénieurs spécialisés en développement JAVA Fullstack.3 postes à  pourvoir ASAP localisés au Plessis-Robinson (92).Type d'emploi : CDI""
38,Reconversion développeur - Java,""En tant que qu'ingénieur(e) en développement JAVA  vos missions sont nombreuses et variées selon les projets :Contribuer au développement des fonctionnalités de nos applications métier Participer à  la conception des flux et des modà¨les de données autour d'une API Management Travailler à  la sécurité et la stabilisation des logiciels  à  sa volumétrie et la performance des applications Améliorer l'efficacité et la transparence des données Migrer des logiciels vers de l'architecture à  haut trafic vers du cloud et de l'IA""
39,Développeur Java / Javascript,""Sur le logiciel de pilotage et administratif des autoroutes  vous serez en charge de la création de composants graphiques sur toutes les interfaces graphiques et la réalisation de l'IHM.Technologies :Javascript expérimenté HTML CSS Javascript ES5 Connaissance de Java Testing et borne de tests""
40,développeur JAVA,""Afin d'accompagner nos clients dans leurs projets de transformation numérique nous recherchons un développeur JAVA.Missions Analyser le besoin en développement Développer les applications logiciel  web ou mobileSuivre l'ensemble des anomalies Controller la maintenance des nouvelles fonctionnalités et spécifications Gérer l'analyse et la synthà¨se des problématiques techniques En parallà¨le de vos projets clients  vous participerez également à  des projets en interne.Profil recherché:Formation Bac+ 5 en informatique Une expérience de 1 à  3 ans Maà®trise de la technologie JAVA / JEE  Spring Boot  Spring MVC Maà®trise de la technologie ASP est un plus.""
41,Référent technique Java,""En tant que leader d'une équipe d'une dizaine de personnes  vous relà¨verez des défis techniques dans un environnement multi-technologiques :coté backend: Java  Spring  Hibernate  NodeJS coté frontend: Angular  React Vous serez responsable de la qualité du code et de la méthodologie de développement.Vous aurez l'opportunité :D'àªtre challengé et d'avoir des responsabilités De concevoir et designer de nouvelles solutions De travailler sur des solutions innovantes (API  Cloud  DevOps) D'encadrer des équipes Capgemini en mode agile  le tout dans une ambiance chaleureuse""
42,Apprenti(e) €“ Développeur(se) Java Full,""Une nouvelle version de cette application doit àªtre développée pour cibler plus spécifiquement la gouvernance des applications dans l'architecture Cloud Azure. Au travers de ces deux axes  votre mission vous conduira :à€ travailler dans une démarche agile (méthode Scrum) pour la réalisation des évolutions applicatives.à€ mettre en Å“uvre les interviews techniques et fonctionnels auprà¨s des parties prenantes  l'architecture technique  la modélisation  le maquettage d'interfaces  les traitements en base de données et la conception  développement et test des composants. Pour répondre à  ces besoins  les choix technologiques se portent principalement sur Angular/Java (Springboot). Toute proposition innovante est cependant bienvenue.Vous serez donc amené(e) à  participer à  la conception et au développement (Angular/Java) des nouvelles solutions.Vous mà¨nerez les phases de test et participerez à  la mise en service.Vous serez donc partie prenante de tout le cycle complet de développement du logiciel.Profil recherché:Outre la connaissance d'un ou plusieurs langages de programmation (Angular  Java€¦)  cette mission nécessitera la mise en Å“uvre de vos qualités d'analyse et de synthà¨se  de communication  d'aisance relationnelle et votre capacité à  organiser  informer et partager vos idées.Des connaissances en agilité et le goà»t pour l'innovation technologique seraient un plus.""							
43,Développeur Back End Java,""""En termes d'expérience et de techno (idéalement bien sà»r) :Tu as 3 années de bagages minimum sur un poste de développeur Back-End Java.Contribuer à  la définition des Users Stories.Participer à  l'analyse des données et à  la rédaction des spécifications fonctionnelles et techniques.Maintenir un haut niveau de qualité du code et recherche d'efficience : bonnes pratiques d'utilisation des bases de données  optimisation du temps de réponse Intervenir dans le projet (méthodologie AGILE/Scrum ).Participer au développement des applications (Back) et éventuellement Front si tu as de l'appétence pour les technologies Web et Mobile""
44,Stage €“ Développeur Java,""Vous participerez aux projets de fabrication (BUILD) de la solution e-banking interfacée au progiciel Amplitude""  dans le respect des méthodes et des outils d'industrialisation.Vous participerez aux activités du projet et contribuerez :à  la conception (étudier et analyser les besoins exprimés) au développement des modules spécifiés à  la qualification (réalisation et déroulement des cas d'utilisation).Compte tenu de notre activité à  l'international  vous pourrez àªtre amené(e) à  travailler sur des projets anglophones.Les apports du stage:Découvrir la solution d'e-banking du progiciel ""Amplitude"" composé d'un Web-Banking et d'un Mobile-Banking Etre formé(e) aux outils de développement utilisés Appréhender la politique et les process industriels d'un éditeur de logiciel Travailler en équipe et en mode Agile Acquérir une vision d'ensemble de la chaà®ne de Delivery  du BUILD jusqu'au RUN Comprendre les enjeux et intégrer la sécurité dans les développements Technos utilisées : LINUX  ORACLE  JAVA  HTML  CSS  Javascript  STRUTS  Cordova""
45,développeur php (h/f),""votre mission  si vous l'acceptez  sera d'intervenir sur une application existante  de la réalisation  l'exécution des tests  la qualification à  la mise en service de ses versionsapplicatives.cette mission intervient dans le cadre d'une migration technique d'environnements en php 5.6 vers du php 8 avec la mise à  jour des frameworks correspondant. votre profil:de formation ingénieur ou équivalent  vous àªtes passionné.e par le développement web dans un environnement agile. vous maà®trisez tout ou partie de l'environnement technique suivant :développements php (5.6 à  8.1)  mysql  typescript frameworks et api : zend  doctrine  jquery  angular 9  symfony 4/6  graphql  rest swagger tests unitaires : phpunit  behat  mink  jasmine outils docker et kubernetes""
46,Développeur PHP junior,""Concrà¨tement  c'est de développer des applications web avec PHP et le framework Symfony  et en front  des technologies JavaScript comme Angular  VueJS et React !Au sein d'une équipe composée d'un lead tech et de 2 à  5 développeurs  tu participeras au développement de projets en PHP/Symfony  et réaliseras des développements d'écrans  de fonctionnalités et de webservices dans des contextes variés et super intéressants !Selon tes compétences et tes envies  tu pourras également développer des applis avec d'autres technos comme Java  Spring Boot  .NET  etc.Ton profil:Tu as un BAC +2/BAC+3 en informatique (DUT/BTS/licence) Tu es autonome  touche-à -tout et curieux Les langages évoluent et toi aussi ! Tu es toujours à  l'affà»t des news du secteur ! Le développement pour toi  c'est bien plus qu'un métier €¯c'est une véritable passion !""
